Timestamp;scop_exciting_gy;scop_exciting_signal
1202076;258;-139
1203077;242;-154
1204078;212;-164
1205080;181;-171
1206075;166;-176
1207077;166;-183
1208079;151;-186
1209075;151;-191
1210075;136;-194
1211091;105;-196
1212076;59;-194
1213078;13;-190
1214079;-47;-182
1215075;-77;-176
1216076;-92;-172
1217078;-108;-167
1218080;-138;-161
1219076;-199;-150
1220077;-230;-142
1221090;-230;-136
1222075;-215;-134
1223077;-199;-134
1224077;-199;-135
1225079;-199;-138
1226080;-169;-145
1227076;-138;-155
1228078;-108;-167
1229080;-77;-180
1230076;-47;-194
1231093;-31;-209
1232078;-31;-222
1233080;-47;-234
1234075;-47;-246
1235077;-31;-260
1236077;-31;-273
1237079;-47;-284
1238075;-77;-292
1239077;-77;-301
1240078;-92;-308
1241079;-108;-314
1242088;-138;-317
1243078;-92;-326
1244080;-47;-336
1245076;-47;-344
1246077;-77;-347
1247079;-92;-350
1248077;-77;-356
1249078;-47;-363
1250075;-62;-368
1251077;-92;-370
1252091;-123;-372
1253077;-154;-372
1254079;-154;-373
1255075;-169;-373
1256078;-199;-370
1257080;-230;-365
1258077;-245;-361
1259079;-245;-357
1260076;-230;-355
1261078;-199;-355
1262090;-154;-358
1263076;-138;-361
1264079;-154;-361
1265080;-184;-359
1266075;-184;-359
1267075;-169;-361
1268077;-184;-361
1269078;-199;-360
1270080;-199;-360
1271075;-169;-363
1272089;-108;-371
1273080;-62;-381
1274076;-16;-394
1275077;44;-411
1276078;59;-425
1277079;44;-438
1278076;29;-449
1279076;13;-460
1280078;29;-473
1281079;44;-488
1282088;44;-501
1283078;-1;-509
1284075;-47;-514
1285075;-47;-521
1286077;-77;-523
1287078;-92;-524
1288075;-92;-526
1289076;-108;-525
1290078;-108;-524
1291078;-123;-520
1292093;-123;-516
1293078;-92;-514
1294079;-77;-513
1295075;-77;-511
1296077;-108;-506
1297077;-138;-498
1298075;-138;-492
1299076;-138;-486
1300077;-138;-481
1301078;-138;-475
1302092;-108;-473
1303077;-62;-474
1304079;-31;-476
1305079;-31;-477
1306076;-31;-478
1307076;-31;-480
1308079;-1;-485
1309079;29;-492
1310076;-1;-493
1311076;-31;-493
1312092;-31;-493
1313078;-16;-494
1314075;-1;-495
1315076;29;-498
1316079;29;-498
1317075;29;-498
1318078;44;-500
1319080;74;-503
1320077;120;-509
1321078;151;-514
1322089;151;-518
1323079;136;-519
1324076;105;-518
1325078;105;-518
1326075;151;-523
1327077;181;-528
1328075;181;-530
1329076;166;-530
1330079;166;-530
1331079;181;-531
1332091;166;-529
1333075;166;-526
1334077;151;-520
1335077;151;-515
1336079;120;-506
1337080;59;-490
1338077;13;-472
1339078;-1;-454
1340080;-1;-436
1341075;-1;-417
1342089;13;-400
1343079;-1;-380
1344075;-16;-359
1345076;-16;-338
1346078;-16;-318
1347079;13;-300
1348076;44;-285
1349077;44;-268
1350078;29;-250
1351079;29;-232
1352088;59;-219
1353078;120;-211
1354075;197;-208
1355076;212;-203
1356078;227;-199
1357078;258;-199
1358075;288;-201
1359076;288;-202
1360078;273;-202
1361079;288;-205
1362089;303;-209
1363079;334;-215
1364075;349;-222
1365076;365;-229
1366078;365;-234
1367079;380;-241
1368075;380;-247
1369076;349;-250
1370078;319;-250
1371079;319;-252
1372089;303;-250
1373105;166;-234
1374078;105;-219
1375079;120;-206
1376076;166;-198
1377076;181;-187
1378080;181;-176
1379076;197;-166
1380078;227;-158
1381080;227;-147
1382077;212;-135
1383088;181;-119
1384080;181;-106
1385076;197;-93
1386079;212;-82
1387075;181;-67
1388078;151;-50
1389080;151;-34
1390077;181;-22
1391078;181;-8
1392076;166;5
1393092;166;19
1394075;166;31
1395077;166;45
1396079;151;59
1397079;136;75
1398075;166;86
1399076;212;94
1400077;242;100
1401078;242;110
1402080;258;118
1403091;273;125
1404077;303;130
1405078;319;136
1406080;303;144
1407075;273;155
1408077;288;161
1409078;319;164
1410080;319;168
1411075;303;173
1412077;288;176
1413091;273;179
1414077;242;183
1415078;227;185
1416080;242;184
1417076;258;181
1418078;273;177
1419078;258;174
1420075;258;168
1421076;273;157
1422078;288;143
1423078;258;131
1424112;242;119
1425076;227;107
1426077;242;94
1427079;273;77
1428075;258;65
1429077;227;56
1430077;258;44
1431079;288;32
1432075;273;26
1433076;242;25
1434088;227;25
1435090;227;25
1436075;212;27
1437077;181;32
1438078;151;37
1439080;136;41
1440076;120;44
1441078;120;46
1442078;90;50
1443075;59;54
1444094;29;53
1445090;13;45
1446076;-1;34
1447079;-47;25
