Timestamp;scop_pitchspeed;scop_rollspeed;scop_yawspeed
1170076;72;-119;102
1171078;72;-119;105
1172078;67;-119;102
1173077;64;-116;100
1174080;67;-116;97
1175077;72;-113;94
1176077;78;-105;92
1177078;78;-105;89
1178078;75;-111;86
1179089;72;-113;86
1180078;72;-113;84
1181077;75;-116;86
1182077;72;-119;92
1183078;70;-119;89
1184079;70;-121;86
1185077;70;-119;89
1186077;67;-116;92
1187078;64;-119;94
1188078;64;-121;94
1189092;64;-121;100
1190076;62;-119;105
1191078;62;-119;108
1192078;64;-113;108
1193077;70;-113;108
1194080;75;-113;102
1195077;80;-111;100
1196077;78;-103;97
1197078;72;-103;94
1198078;70;-105;94
1199093;67;-108;100
1200076;64;-108;97
1201078;62;-111;92
1202078;64;-113;86
1203077;62;-111;84
1204080;59;-108;84
1205077;59;-111;84
1206077;59;-116;84
1207078;54;-119;84
1208078;54;-121;81
1209077;56;-121;81
1210197;56;-121;84
1211079;59;-124;92
1212077;59;-124;92
1213078;62;-124;86
1214078;62;-121;84
1215079;62;-121;86
1216077;59;-121;84
1217078;56;-121;81
1218077;56;-119;81
1219078;56;-119;81
1220075;59;-116;84
1221093;59;-116;86
1222078;59;-113;92
1223077;54;-113;97
1224079;48;-116;100
1225077;51;-121;102
1226078;56;-124;102
1227077;64;-127;97
1228078;67;-119;92
1229077;62;-108;92
1230078;59;-98;94
1231090;56;-100;94
1232079;59;-105;89
1233076;59;-108;86
1234079;59;-105;89
1235077;59;-103;89
1236077;59;-105;89
1237078;62;-108;92
1238078;62;-111;97
1239077;56;-108;97
1240077;51;-108;94
1241089;51;-105;89
1242079;54;-100;89
1243077;56;-98;97
1244080;56;-100;100
1245077;51;-105;100
1246077;46;-108;100
1247078;40;-105;102
1248078;40;-100;105
1249077;43;-100;105
1250077;43;-100;100
1251092;40;-103;94
1252076;38;-105;86
1253078;40;-103;86
1254078;43;-100;86
1255077;46;-95;86
1256077;48;-92;86
1257078;48;-92;86
1258078;48;-95;89
1259077;46;-95;92
1260077;40;-95;94
1261078;35;-92;94
1262088;35;-92;94
1263079;38;-92;94
1264077;40;-95;97
1265078;43;-95;94
1266077;38;-95;94
1267077;35;-95;97
