Timestamp;scop_gx;scop_gy;scop_gz
864000;72;60;0
865000;12;-24;-94
866000;12;-24;-49
867000;-72;85;-94
868000;-42;55;-119
869000;-22;-59;-4
870000;62;15;40
871000;2;75;-64
872000;-47;-94;-24
873000;-2;-119;125
874000;97;-64;120
875000;62;-144;-159
876000;-17;-109;-174
877000;37;180;5
878000;57;160;-94
879000;-52;60;-84
880000;-47;-79;-109
881000;-72;-54;-84
882000;-57;10;-79
883000;-47;-99;-39
884000;-67;-134;-24
885000;12;-74;-59
886000;-32;-94;-19
887000;-57;-79;-44
888000;-27;-34;-29
889000;-2;50;45
890000;37;25;-9
891000;57;-129;-134
892000;7;-119;-144
893000;22;-94;-79
894000;-72;160;-14
895000;-82;135;30
896000;12;20;40
897000;27;20;-9
898000;-72;10;-109
899000;2;-124;-79
900000;12;-34;-49
901000;107;50;-9
902000;122;25;-49
903000;-177;-29;-49
904000;-147;60;5
905000;-22;85;85
906000;-107;-234;-59
907000;-207;-239;-4
908000;-52;-34;-19
909000;17;-74;-49
910000;-47;-9;65
911000;12;50;105
912000;-22;-89;-49
913000;-177;-24;15
914000;-32;0;90
915000;-2;-104;-59
916000;-107;-39;-14
917000;-92;-44;-9
918000;-2;30;-29
919000;-37;85;-29
920000;-97;10;-59
921000;-57;-29;-24
922000;-32;-14;45
923000;-87;35;-59
924000;2;-94;-99
925000;-57;-14;-79
926000;-57;60;-39
927000;-82;-24;-9
928000;12;5;-9
929000;67;-59;-4
930000;47;25;-9
931000;52;-14;-154
932000;7;-24;-59
933000;-12;-39;40
934000;97;25;65
935000;62;60;5
936000;2;-24;-9
937000;-47;-49;10
938000;-7;-24;0
939000;112;-79;25
940000;-87;-59;15
941000;-107;-4;5
942000;37;55;5
943000;47;45;-119
944000;-57;-54;-9
945000;-22;0;10
946000;-12;-9;-59
947000;-82;0;-89
948000;-107;-109;10
949000;-142;-159;-19
950000;27;-29;-9
951000;2;-49;35
952000;-107;-64;-39
953000;-27;-9;0
954000;27;-69;-39
955000;-32;0;-19
956000;-27;-34;-84
957000;22;25;-119
958000;-22;35;-119
959000;-42;50;-4
960000;42;-44;25
961000;-57;-144;-69
962000;-132;10;20
963000;-17;-49;-9
964000;-92;-29;-54
965000;-87;155;5
966000;-52;170;0
967000;42;175;45
968000;-7;-49;-49
969000;87;-54;-74
970000;37;115;5
971000;-107;-4;-54
972000;-22;-64;-99
973000;12;0;-94
974000;-17;-34;-59
975000;107;70;40
976000;62;85;-34
977000;12;45;-129
978000;7;120;-74
979000;57;5;-49
980000;12;-89;-124
981000;-102;-4;-39
982000;-127;85;25
983000;-72;85;45
984000;2;-14;-9
985000;97;50;-34
986000;87;135;-4
987000;37;125;30
988000;37;20;-4
989000;37;-94;-79
990000;-57;-89;-9
991000;-52;-134;155
992000;-12;-139;80
993000;-27;-59;-9
994000;-22;-19;5
995000;42;95;-74
996000;12;-29;-54
997000;-82;-119;35
998000;-177;-34;5
999000;-177;-34;5
1000000;62;65;-89
1001000;177;5;-69
1002000;-32;-194;-114
1003000;2;-74;5
1004000;62;50;25
1005000;-97;-79;-19
1006000;-117;-34;-64
1007000;-57;25;-29
1008000;7;5;-24
1009000;-252;-134;-89
1010000;-177;-34;-49
1011000;62;110;-4
1012000;-32;20;-99
1013000;-107;55;25
1014000;77;40;-9
1015000;127;-14;-59
1016000;107;-149;-29
1017000;-102;-84;-14
1018000;-107;90;-4
1019000;-52;275;0
1020000;-132;-74;0
1021000;2;-109;15
1022000;82;50;60
1023000;7;-29;65
1024000;72;5;-4
1025000;122;50;-59
1026000;-142;10;-9
1027000;-52;-4;-29
1028000;42;40;0
1029000;-202;-49;35
1030000;-137;-39;15
1031000;17;-54;25
1032000;17;-54;25
1033000;-62;-44;-49
1034000;-22;80;95
1035000;27;10;-54
1036000;-72;5;0
1037000;-22;-44;0
1038000;2;0;-14
1039000;-167;-89;-59
1040000;-127;-9;-84
1041000;87;-9;85
1042000;27;-59;60
1043000;-132;-39;20
1044000;-147;20;115
1045000;-102;35;40
1046000;27;10;-49
1047000;72;10;-49
1048000;107;-39;-49
1049000;-57;-74;-9
1050000;-122;-19;-44
1051000;87;50;20
1052000;-52;-74;-29
1053000;-72;-144;-54
1054000;-2;-19;-44
1055000;-32;-204;-154
1056000;147;-94;-149
1057000;97;40;5
1058000;-57;25;25
1059000;-47;-134;-84
1060000;-27;-119;-139
1061000;-122;-69;-84
1062000;-102;-204;-24
1063000;-22;-44;-19
1064000;-57;25;-69
1065000;-77;-44;-109
1066000;42;-44;-29
1067000;-22;-54;10
1068000;-137;-139;-9
1069000;2;10;5
1070000;7;50;0
1071000;107;20;15
1072000;117;60;-79
1073000;52;35;-139
1074000;-77;50;-84
1075000;-62;-64;-24
1076000;-87;0;70
1077000;-82;110;45
1078000;-2;10;-4
1079000;27;170;-9
1080000;-57;75;10
1081000;-82;-14;20
1082000;-32;-19;15
1083000;102;25;25
1084000;-2;10;60
1085000;-82;-94;0
1086000;-12;-34;-69
1087000;-47;-4;-69
1088000;-117;-19;-49
1089000;-97;-49;-24
1090000;72;-64;15
1091000;-42;20;-109
1092000;-12;30;-94
1093000;-72;-29;-39
1094000;2;-29;110
1095000;62;-119;25
1096000;-112;25;10
1097000;-157;35;-14
1098000;87;-44;-54
1099000;-17;-24;-44
1100000;-132;-79;-54
1101000;2;-34;-39
1102000;122;65;-14
1103000;2;120;60
1104000;-107;-44;-79
1105000;-47;-29;-64
1106000;-27;-109;100
1107000;-22;-124;15
1108000;-57;95;0
1109000;42;20;-44
1110000;22;120;-59
1111000;-72;5;-114
1112000;-82;-69;-24
1113000;27;15;25
1114000;62;10;0
1115000;62;10;-49
1116000;-27;5;-59
1117000;-277;-104;-14
1118000;-162;-109;-69
1119000;72;35;-104
1120000;97;25;-44
1121000;-102;-54;40
1122000;-102;-54;40
1123000;17;-189;-59
1124000;77;-154;-44
1125000;62;-24;-29
1126000;-142;-49;-109
1127000;-22;-39;65
1128000;77;35;95
1129000;-47;60;-64
1130000;-57;60;-64
1131000;-72;-64;-69
1132000;57;-34;25
1133000;-107;-49;30
1134000;-112;-64;-64
1135000;-32;-49;60
1136000;17;15;-19
1137000;27;10;-69
1138000;57;75;-34
1139000;-47;10;-44
1140000;-62;-134;-84
1141000;47;-169;-89
1142000;-52;-19;-9
1143000;-77;-114;-44
1144000;12;-24;-69
1145000;-57;30;0
1146000;-32;-34;-19
1147000;12;-89;-69
1148000;47;-14;-24
1149000;-112;-24;-29
1150000;-222;65;0
1151000;-217;-74;-54
1152000;2;-159;-99
1153000;37;-144;50
1154000;-127;-34;90
1155000;-137;-39;-24
1156000;-32;-144;-19
1157000;2;-49;-9
1158000;-22;-39;-49
1159000;-32;-124;-84
1160000;-62;-44;-19
1161000;-22;110;0
1162000;-147;-49;15
1163000;-147;-49;15
1164000;-47;-139;-39
1165000;-42;-59;-19
1166000;57;20;20
1167000;62;-109;0
1168000;52;-144;0
1169000;-12;25;-4
1170000;-22;20;5
1171000;-32;-34;10
1172000;-72;-34;35
1173000;37;135;5
1174000;132;80;-44
1175000;97;-84;0
1176000;-72;-154;0
1177000;-97;-89;-99
1178000;2;35;-114
1179000;-32;-14;-49
1180000;-82;10;-29
1181000;42;-99;-44
1182000;92;-49;-89
1183000;-22;-9;-44
1184000;37;-34;60
1185000;-72;-109;10
1186000;-47;-94;-19
1187000;7;90;15
1188000;57;85;-9
1189000;12;0;5
1190000;47;20;-79
1191000;157;40;-59
1192000;37;70;-24
1193000;-82;15;10
1194000;-137;65;-24
1195000;-122;-54;-49
1196000;-97;-74;-74
1197000;-82;-69;-39
1198000;-47;-19;20
1199000;-102;-224;-19
1200000;2;-114;-4
1201000;12;40;5
1202000;-102;15;-44
1203000;-42;-44;-84
1204000;2;-24;-69
1205000;-87;35;-19
1206000;-47;0;-69
1207000;62;0;-104
1208000;67;-14;-64
1209000;47;25;20
1210000;52;30;20
1211000;97;95;-49
1212000;-47;-74;-9
1213000;-47;-134;15
1214000;-32;-104;70
1215000;7;-74;65
1216000;-132;-69;15
1217000;27;35;-9
1218000;42;-64;-74
1219000;-22;-59;-54
1220000;12;130;-4
1221000;27;60;-74
1222000;22;-169;-174
1223000;72;-59;-89
1224000;27;55;-64
1225000;22;10;-29
1226000;47;-14;45
1227000;12;25;0
1228000;47;-34;-14
1229000;12;-134;-34
1230000;72;50;-69
1231000;-57;45;-59
1232000;-17;-24;-54
1233000;-22;-39;5
1234000;47;-14;-39
1235000;62;-9;-94
1236000;27;10;-9
1237000;2;-9;10
1238000;-12;-89;20
1239000;2;-24;-49
1240000;-22;-69;-89
1241000;-72;-99;50
1242000;-57;20;40
1243000;-12;55;30
1244000;-52;-19;-4
1245000;-12;-4;20
1246000;172;45;30
1247000;-32;190;0
1248000;22;25;-104
1249000;102;-104;-119
1250000;147;-59;5
1251000;2;120;50
1252000;-72;95;-4
1253000;2;85;-54
1254000;27;60;-39
1255000;102;85;-29
1256000;-12;35;55
1257000;-17;10;-54
1258000;2;50;-124
1259000;-7;-114;-69
1260000;67;-174;85
1261000;42;-84;100
1262000;32;45;5
